text,label
Hôm nay trời thật đẹp,2
Tôi rất vui khi gặp bạn,2
Món ăn này thật tuyệt vời,2
Bộ phim này rất hay,2
Bạn đã làm rất tốt,2
Tôi vừa nhận được tin tốt,2
Chuyến đi thật đáng nhớ,2
Em bé đó thật đáng yêu,2
Tôi yêu công việc của mình,2
Cà phê sáng nay thật thơm,2
Tôi cảm thấy thật may mắn,2
Buổi hòa nhạc thật sôi động,2
Bạn có một nụ cười rạng rỡ,2
Đây là món quà ý nghĩa nhất,2
Tôi tự hào về bạn,2
Quyển sách này rất lôi cuốn,2
Bài hát này nghe thật thư giãn,2
Tôi đã có một kỳ nghỉ tuyệt vời,2
Chúng ta đã thắng rồi,2
Món súp này rất ấm áp,2
Tôi thích không khí ở đây,2
Bạn thật tốt bụng,2
Dự án đã thành công tốt đẹp,2
Tôi cảm thấy tràn đầy năng lượng,2
Một ý tưởng thật xuất sắc,2
Cảm ơn vì đã giúp đỡ tôi,2
Hoa nở thật rực rỡ,2
Tôi đã học được điều mới mẻ,2
Bữa tiệc tối qua rất vui,2
Mọi thứ đều hoàn hảo,2
Tôi rất lạc quan về tương lai,2
Bạn nấu ăn thật ngon,2
Đây là cảnh hoàng hôn đẹp nhất tôi từng thấy,2
Tôi ngủ rất ngon giấc,2
Bài thuyết trình của bạn rất ấn tượng,2
Tôi luôn mong chờ cuối tuần,2
Tôi thích cách bạn suy nghĩ,2
Thật tuyệt khi được nghỉ ngơi,2
Con chó của bạn thật thông minh,2
Không khí thật trong lành,2
Tôi cảm thấy biết ơn,2
Bạn trông thật tuyệt hôm nay,2
Dịch vụ ở đây thật xuất sắc,2
Tôi đã tìm thấy thứ mình cần,2
Chúng ta hãy ăn mừng nào,2
Tôi rất hài lòng với kết quả,2
Một buổi sáng thật yên bình,2
Tôi thích đi dạo trong công viên,2
Bạn là một người bạn tuyệt vời,2
Tôi cảm thấy thật hạnh phúc,2
Món ăn này quá tệ,0
Tôi cảm thấy rất mệt mỏi,0
Hôm nay là một ngày tồi tệ,0
Tôi bị kẹt xe hàng giờ,0
Bộ phim đó thật nhàm chán,0
Dịch vụ ở đây quá chậm,0
Tôi không thể tin được anh ta nói dối,0
Tôi bị mất ví tiền,0
Trời mưa làm hỏng kế hoạch của tôi,0
Tôi ghét phải dậy sớm,0
Tôi cảm thấy thật thất vọng,0
Máy tính của tôi lại bị hỏng,0
Tôi không hiểu bài giảng này,0
Món này quá mặn,0
Tôi bị đau đầu,0
Tiếng ồn này thật khó chịu,0
Tôi đã làm rơi điện thoại,0
Tôi trễ xe buýt rồi,0
Tôi không thích thời tiết này,0
Công việc thật áp lực,0
Tôi cảm thấy bị bỏ rơi,0
Tại sao mọi thứ luôn sai vậy,0
Tôi đã quên mất cuộc hẹn,0
Xe của tôi bị thủng lốp,0
Tôi không tìm thấy chìa khóa,0
Mạng internet quá chậm,0
Tôi cảm thấy rất buồn,0
Anh ta thật thô lỗ,0
Tôi không muốn nói chuyện với ai,0
Thời tiết quá nóng bức,0
Tôi đã thất bại trong kỳ thi,0
Tôi ghét phải chờ đợi,0
Căn phòng này thật bừa bộn,0
Tôi cảm thấy thật cô đơn,0
Tôi không có gì để mặc,0
Tôi bị cảm lạnh rồi,0
Tôi không thể ngủ được,0
Hàng xóm quá ồn ào,0
Tôi cảm thấy thật bất công,0
Tôi đã làm đổ cà phê,0
Điện thoại của tôi hết pin,0
Tôi ghét ngày thứ Hai,0
Tôi không đồng ý với quyết định này,0
Mọi thứ thật đắt đỏ,0
Tôi cảm thấy lo lắng về tương lai,0
Tôi không thích mùi này,0
Tôi bị lạc đường,0
Tôi đã mắc một sai lầm lớn,0
Tôi chán ngấy việc này rồi,0
Tôi cảm thấy bình thường,1
Bây giờ là 3 giờ chiều,1
Cuốn sách này màu xanh,1
Tôi cần đi siêu thị,1
Họ đang xây dựng một tòa nhà mới,1
Xe buýt sẽ đến trong 5 phút,1
Hôm nay tôi mặc áo sơ mi trắng,1
Anh ấy đang đọc báo,1
Cửa hàng mở cửa lúc 8 giờ sáng,1
Tôi sẽ kiểm tra email,1
Bàn này làm bằng gỗ,1
Tôi đang nghe nhạc,1
Báo cáo sẽ hoàn thành vào ngày mai,1
Tôi cần mua một ít sữa,1
Tệp đã được lưu,1
Đèn đang bật,1
Hôm nay là thứ Năm,1
Chiếc xe đó màu đỏ,1
Anh ấy đang đi bộ,1
Tôi đang học lập trình,1
Cửa sổ đang mở,1
Tôi sẽ gọi lại sau,1
Cuộc họp bắt đầu lúc 10 giờ,1
Tôi đang ở văn phòng,1
Bưu điện ở cuối đường,1
Tôi có một câu hỏi,1
Đây là một cây bút chì,1
Trời đang có mây,1
Tôi cần sạc điện thoại,1
Cơm đang nấu trong nồi,1
Tôi xem lịch trình của mình,1
Tôi đang đợi bạn tôi,1
Cô ấy đang nói chuyện điện thoại,1
Tôi sẽ gửi nó qua email,1
Con mèo đang ngủ,1
Tôi uống nước lọc,1
Tôi cần điền vào biểu mẫu này,1
Lớp học đã kết thúc,1
Tôi đang xem tivi,1
Quyển vở này có 100 trang,1
Tôi đang ngồi trên ghế,1
Tôi sẽ kiểm tra lại thông tin,1
Nhiệt độ là 25 độ C,1
Tôi đang nấu bữa tối,1
Tôi sẽ đi làm bằng xe buýt,1
Tôi cần mua một đôi giày mới,1
Tôi đang đọc hướng dẫn sử dụng,1
Máy tính đang khởi động,1
Tôi sẽ thanh toán bằng thẻ,1